CPU_Sequential,1024,1,1,5,1.106740e-06,1.106740e-06,0.003622
CPU_Sequential,1024,1,2,5,1.106740e-06,1.106740e-06,0.003609
CPU_Sequential,1024,1,3,5,1.106740e-06,1.106740e-06,0.003587
CPU_Sequential,2048,1,1,4,1.894458e-05,1.894458e-05,0.023819
CPU_Sequential,2048,1,2,4,1.894458e-05,1.894458e-05,0.012700
CPU_Sequential,2048,1,3,4,1.894458e-05,1.894458e-05,0.013237
CPU_Sequential,4096,1,1,4,9.528862e-06,9.528862e-06,0.052472
CPU_Sequential,4096,1,2,4,9.528862e-06,9.528862e-06,0.050876
CPU_Sequential,4096,1,3,4,9.528862e-06,9.528862e-06,0.053402
OpenMP_Multicore,1024,2,1,5,9.832096e-07,9.832097e-07,0.003768
OpenMP_Multicore,1024,2,2,5,1.061006e-06,1.061006e-06,0.001971
OpenMP_Multicore,1024,2,3,5,1.219142e-06,1.219142e-06,0.003849
OpenMP_Multicore,1024,4,1,5,9.072087e-07,9.072087e-07,0.002145
OpenMP_Multicore,1024,4,2,5,9.340913e-07,9.340913e-07,0.001447
OpenMP_Multicore,1024,4,3,5,9.113460e-07,9.113460e-07,0.002100
OpenMP_Multicore,1024,8,1,5,6.931635e-07,6.931635e-07,0.000940
OpenMP_Multicore,1024,8,2,5,8.660860e-07,8.660860e-07,0.000921
OpenMP_Multicore,1024,8,3,5,8.858255e-07,8.858255e-07,0.000711
OpenMP_Multicore,2048,2,1,4,1.850162e-05,1.850162e-05,0.006747
OpenMP_Multicore,2048,2,2,4,1.589332e-05,1.589332e-05,0.006565
OpenMP_Multicore,2048,2,3,4,1.696985e-05,1.696985e-05,0.011144
OpenMP_Multicore,2048,4,1,4,2.223437e-05,2.223437e-05,0.005410
OpenMP_Multicore,2048,4,2,4,1.835367e-05,1.835367e-05,0.005571
OpenMP_Multicore,2048,4,3,4,1.655970e-05,1.655970e-05,0.006226
OpenMP_Multicore,2048,8,1,4,2.515550e-05,2.515550e-05,0.002450
OpenMP_Multicore,2048,8,2,4,1.865357e-05,1.865357e-05,0.003615
